zoneId;locationX;locationY;attractivity;activityType
2343;145.1455722;-37.8843792;20;6
2251;145.1464134;-37.8846976;10;5
2246;145.1641177;-37.8802018;10;6
1204;145.0863229;-38.0037561;23;6
1464;145.2440563;-37.8689144;12;5
1450;145.2330591;-37.8477565;23;4
1450;145.2337573;-37.8471823;12;5
1453;145.2164778;-37.855273;12;5
470;145.1522369;-37.8532916;12;5
2258;145.1611231;-37.902873;20;6
2502;145.1618225;-37.9039474;20;6
2382;145.1598716;-37.9043603;10;5
2261;145.1489293;-37.8714938;10;5
2229;145.1785827;-37.8759245;23;6
1735;145.1361815;-37.9602083;23;6
2261;145.1491763;-37.8704911;10;5
466;145.1508405;-37.8570517;12;5
2203;145.1671851;-37.8747894;23;5
2228;145.1661029;-37.8799758;20;6
2343;145.1451619;-37.8862652;20;5
2504;145.178557;-37.9104755;10;5
2461;145.1133574;-37.8981008;10;6
1847;145.2095102;-37.9496845;12;5
2334;145.1441694;-37.8907122;10;6
1870;145.1189555;-37.9729168;10;5
1735;145.1308523;-37.9600622;12;5
2248;145.1647793;-37.8812376;10;5
2262;145.1435439;-37.9009915;20;6
1450;145.2319683;-37.8474533;11;6
2357;145.1269332;-37.8849322;20;6
1832;145.2242535;-37.9692098;23;6
1832;145.2239344;-37.9704173;23;6
1832;145.2230383;-37.9706137;23;6
1389;145.2368301;-37.9113575;23;6
1362;145.2365048;-37.9076898;23;6
1048;145.1330796;-38.0275623;12;5
2267;145.1546216;-37.8628638;12;5
515;145.0292746;-37.9911474;23;5
2359;145.124721;-37.8948562;10;5
2424;145.1144012;-37.9069161;20;6
2409;145.1059069;-37.8962041;10;5
2128;145.106851;-37.8894984;10;5
2325;145.1153139;-37.8770879;10;5
2341;145.1258073;-37.8777653;10;5
2421;145.0903144;-37.8973303;10;6
2311;145.1234297;-37.864045;12;5
2305;145.125215;-37.8692149;10;5
2334;145.1442767;-37.8912863;20;6
2382;145.1557377;-37.9082183;10;5
2167;145.1431304;-37.9171751;10;5
1464;145.2423727;-37.8706227;23;6
2229;145.1725993;-37.875226;12;5
2248;145.1628724;-37.882193;10;5
1494;145.2335094;-37.8702095;12;5
2130;145.1028185;-37.8678638;12;5
2141;145.1227464;-37.9112111;20;6
