zoneId;isDestination;NAME;zoneClassification;AirDistanceOffset;AreaType
1;1;Zone 20606113501;0;0;0
2;1;Zone 20606113502;0;0;0
3;1;Zone 20606113503;0;0;0
4;1;Zone 20606113504;0;0;0
5;1;Zone 20606113505;0;0;0
6;1;Zone 20606113506;0;0;0
7;1;Zone 20606113507;0;0;0
8;1;Zone 20606113516;0;0;0
9;1;Zone 20606113517;0;0;0
10;1;Zone 20606113518;0;0;0
11;1;Zone 20606113519;0;0;0
12;1;Zone 20606113809;0;0;0
13;1;Zone 20606113810;0;0;0
14;1;Zone 20606113811;0;0;0
15;1;Zone 20606113820;0;0;0
16;1;Zone 20606113832;0;0;0
17;1;Zone 20701114601;0;0;0
18;1;Zone 20701114602;0;0;0
19;1;Zone 20701114603;0;0;0
20;1;Zone 20701114604;0;0;0
21;1;Zone 20701114605;0;0;0
22;1;Zone 20701114606;0;0;0
23;1;Zone 20701114607;0;0;0
24;1;Zone 20701114608;0;0;0
25;1;Zone 20701114609;0;0;0
26;1;Zone 20701114610;0;0;0
27;1;Zone 20701114611;0;0;0
28;1;Zone 20701114612;0;0;0
29;1;Zone 20701114613;0;0;0
30;1;Zone 20701114614;0;0;0
31;1;Zone 20701114615;0;0;0
32;1;Zone 20701114616;0;0;0
33;1;Zone 20701114617;0;0;0
34;1;Zone 20701114618;0;0;0
35;1;Zone 20701114619;0;0;0
36;1;Zone 20701114701;0;0;0
37;1;Zone 20701114702;0;0;0
38;1;Zone 20701114703;0;0;0
39;1;Zone 20701114704;0;0;0
40;1;Zone 20701114705;0;0;0
41;1;Zone 20701114706;0;0;0
42;1;Zone 20701114707;0;0;0
43;1;Zone 20701114708;0;0;0
44;1;Zone 20701114709;0;0;0
45;1;Zone 20701114710;0;0;0
46;1;Zone 20701114711;0;0;0
47;1;Zone 20701114712;0;0;0
48;1;Zone 20701114713;0;0;0
49;1;Zone 20701114714;0;0;0
50;1;Zone 20701114715;0;0;0
51;1;Zone 20701114716;0;0;0
52;1;Zone 20701114717;0;0;0
53;1;Zone 20701114718;0;0;0
54;1;Zone 20701114721;0;0;0
55;1;Zone 20701114722;0;0;0
56;1;Zone 20701114723;0;0;0
57;1;Zone 20701114724;0;0;0
58;1;Zone 20701114725;0;0;0
59;1;Zone 20701114726;0;0;0
60;1;Zone 20701114727;0;0;0
61;1;Zone 20701114728;0;0;0
62;1;Zone 20701114729;0;0;0
63;1;Zone 20701114730;0;0;0
64;1;Zone 20701114731;0;0;0
65;1;Zone 20701114732;0;0;0
66;1;Zone 20701114733;0;0;0
67;1;Zone 20701114734;0;0;0
68;1;Zone 20701114735;0;0;0
69;1;Zone 20701114801;0;0;0
70;1;Zone 20701114802;0;0;0
71;1;Zone 20701114803;0;0;0
72;1;Zone 20701114804;0;0;0
73;1;Zone 20701114805;0;0;0
74;1;Zone 20701114806;0;0;0
75;1;Zone 20701114807;0;0;0
76;1;Zone 20701114808;0;0;0
77;1;Zone 20701114809;0;0;0
78;1;Zone 20701114810;0;0;0
79;1;Zone 20701114811;0;0;0
80;1;Zone 20701114812;0;0;0
81;1;Zone 20701114813;0;0;0
82;1;Zone 20701114814;0;0;0
83;1;Zone 20701114848;0;0;0
84;1;Zone 20701114849;0;0;0
85;1;Zone 20701114901;0;0;0
86;1;Zone 20701114902;0;0;0
87;1;Zone 20701114903;0;0;0
88;1;Zone 20701114904;0;0;0
89;1;Zone 20701114905;0;0;0
90;1;Zone 20701114906;0;0;0
91;1;Zone 20701114907;0;0;0
92;1;Zone 20701114908;0;0;0
93;1;Zone 20701114909;0;0;0
94;1;Zone 20701114910;0;0;0
95;1;Zone 20701114911;0;0;0
96;1;Zone 20701114912;0;0;0
97;1;Zone 20701114913;0;0;0
98;1;Zone 20701114914;0;0;0
99;1;Zone 20701114915;0;0;0
100;1;Zone 20701114916;0;0;0
101;1;Zone 20701114917;0;0;0
102;1;Zone 20701114918;0;0;0
103;1;Zone 20701114919;0;0;0
104;1;Zone 20701114920;0;0;0
105;1;Zone 20701114921;0;0;0
106;1;Zone 20701114922;0;0;0
107;1;Zone 20701114923;0;0;0
108;1;Zone 20701114924;0;0;0
109;1;Zone 20701114925;0;0;0
110;1;Zone 20701114926;0;0;0
111;1;Zone 20701114927;0;0;0
112;1;Zone 20701114928;0;0;0
113;1;Zone 20701114929;0;0;0
114;1;Zone 20701114930;0;0;0
115;1;Zone 20701114931;0;0;0
116;1;Zone 20701114932;0;0;0
117;1;Zone 20701114933;0;0;0
118;1;Zone 20701114934;0;0;0
119;1;Zone 20701114936;0;0;0
120;1;Zone 20701114937;0;0;0
121;1;Zone 20701114938;0;0;0
122;1;Zone 20701114939;0;0;0
123;1;Zone 20701114940;0;0;0
124;1;Zone 20701114941;0;0;0
125;1;Zone 20701114942;0;0;0
126;1;Zone 20701114943;0;0;0
127;1;Zone 20701114944;0;0;0
128;1;Zone 20701114945;0;0;0
129;1;Zone 20701114946;0;0;0
130;1;Zone 20701114947;0;0;0
131;1;Zone 20701114948;0;0;0
132;1;Zone 20701114949;0;0;0
133;1;Zone 20701114950;0;0;0
134;1;Zone 20701114951;0;0;0
135;1;Zone 20701115001;0;0;0
136;1;Zone 20701115002;0;0;0
137;1;Zone 20701115003;0;0;0
138;1;Zone 20701115004;0;0;0
139;1;Zone 20701115005;0;0;0
140;1;Zone 20701115006;0;0;0
141;1;Zone 20701115007;0;0;0
142;1;Zone 20701115008;0;0;0
143;1;Zone 20701115009;0;0;0
144;1;Zone 20701115010;0;0;0
145;1;Zone 20701115011;0;0;0
146;1;Zone 20701115012;0;0;0
147;1;Zone 20701115013;0;0;0
